FID_1,STATE,COUNTY,CITY,LATITUDE,LONGITUD,OBJECTID,ICOUNT,Distance
3952,6,65,0,33.97822500,-117.45075833,2484,4,2259.79486987
3708,6,65,0,34.02486111,-117.55138056,2490,4,405.48451287
3839,6,71,1305,34.06771111,-117.52383611,2516,4,70.53547428
3724,6,73,3260,32.56871111,-117.02786111,2557,3,972.73783318
3872,6,73,710,32.63559722,-117.04810278,2605,3,903.62108723
3818,6,73,0,32.70698333,-117.00823611,2648,3,594.80320437
3569,6,73,3260,32.77260833,-117.07005556,2672,3,257.88649174
3676,6,73,0,32.75582778,-117.00895833,2691,4,255.22849216
3978,6,73,1080,32.80013056,-116.93694167,2719,4,377.15006845
3961,6,73,3260,32.78835000,-117.11377500,2738,4,88.42259810
3473,6,73,3260,32.81519444,-117.08696389,2753,3,2833.51083020
3588,6,73,1080,32.80533889,-116.96181111,2780,3,260.54042700
3949,6,73,1080,32.80228056,-116.96645833,2780,3,481.77658641
4006,6,73,1080,32.78034167,-116.95539167,2780,3,2592.00321697
3446,6,73,3499,32.84183056,-116.96904722,2790,3,796.17483542
3763,6,73,3260,32.95461944,-117.12596944,2812,3,2481.69025595
3610,6,73,3260,32.99063056,-117.07208333,2833,4,1291.25411762
3856,6,73,3260,33.01873056,-117.06194444,2833,4,2901.65736185
3578,6,73,0,32.99963056,-116.93991111,2840,3,6286.34521756
3667,6,73,0,32.91826111,-116.88448889,2840,3,7843.74596256
3662,6,73,0,33.02736944,-116.89036944,2844,3,2664.96765570
3546,6,73,1200,33.12730278,-117.07392778,2870,3,252.81340498
3645,6,73,1200,33.12870000,-117.08462222,2872,3,375.51488623
3714,6,73,0,33.27093889,-117.08246944,2885,4,9108.24289185
3451,6,73,0,33.09931944,-116.59638889,2923,3,2610.39733740
3469,6,73,0,33.33896944,-117.13376944,2929,4,2364.57735916
3485,6,65,1801,33.62677778,-117.26358056,2979,4,5198.26973901
3619,6,65,4197,33.64877500,-117.29482778,2979,4,1639.85263380
3482,6,65,2327,33.68510278,-117.17035833,2985,3,5916.60016886
3917,6,65,564,33.67430000,-117.25439722,2985,3,2173.08905338
3488,6,65,1580,33.72143333,-117.03264167,2994,3,3822.56067100
3607,6,65,1580,33.71375556,-117.00297778,2994,3,3768.52108720
3955,6,65,1580,33.75810000,-116.98924444,2994,3,1921.19196969
3746,6,65,0,33.77761667,-117.24579722,3022,3,698.36370543
3587,6,65,0,33.83940000,-117.30508889,3042,4,5039.50628559
3531,6,65,2730,33.81561111,-117.22255556,3045,4,3249.72902938
3602,6,65,0,33.81961944,-117.11678889,3048,3,7239.40999422
3459,6,65,0,33.73990833,-117.06885556,3059,3,624.29648240
3492,6,65,0,33.82699167,-117.04123333,3061,3,3558.03559383
3513,6,65,2276,33.94245000,-117.27863056,3106,3,1391.84222381
3810,6,65,3070,33.94663889,-117.30090000,3106,3,705.84575929
3527,6,65,3070,33.99470000,-117.36067222,3131,4,361.90626397
3718,6,71,0,34.03696111,-117.39586944,3149,3,1294.53237973
3468,6,71,3210,34.06421111,-117.27921944,3184,4,127.81286613
3575,6,71,3210,34.07861944,-117.29583056,3220,3,813.44529678
3911,6,71,3210,34.11576944,-117.31898611,3236,3,1000.60095144
3879,6,65,2278,33.94898056,-117.19785556,3247,4,2158.17024389
3831,6,65,0,33.97701389,-117.10940833,3252,3,4609.66736372
3447,6,65,0,33.99536111,-117.16103056,3260,3,4721.45924231
3974,6,65,250,33.95406667,-117.03491944,3274,3,3065.51351428
