STATE,COUNTY,LATITUDE,LONGITUDE
1.0000,97.0000,30.73338056,-88.03816389
1.0000,73.0000,33.39610000,-86.78515833
1.0000,73.0000,33.65939722,-86.68199167
1.0000,97.0000,30.71211111,-88.12111389
1.0000,101.0000,32.39172778,-86.39021389
1.0000,95.0000,34.31188889,-86.30488333
1.0000,13.0000,31.91450556,-86.58333889
1.0000,81.0000,32.58681389,-85.48621944
1.0000,17.0000,32.88794167,-85.39571111
1.0000,117.0000,33.25063889,-86.80520833
1.0000,97.0000,30.49453889,-88.20608611
1.0000,97.0000,30.58724167,-88.28675556
1.0000,97.0000,,
1.0000,25.0000,31.62868333,-87.65431111
1.0000,9.0000,33.90506667,-86.73155000
1.0000,53.0000,31.01852222,-87.29442222
1.0000,109.0000,,
1.0000,81.0000,32.56394167,-85.12738056
1.0000,103.0000,34.40231389,-86.61127222
1.0000,45.0000,31.32702778,-85.44363889
1.0000,37.0000,33.07360556,-86.24820000
1.0000,75.0000,33.74761111,-88.16313056
1.0000,115.0000,33.60481389,-86.29050833
1.0000,63.0000,32.85685833,-87.94060000
1.0000,97.0000,30.71698889,-88.27623611
1.0000,43.0000,34.11592222,-87.01423889
1.0000,19.0000,34.12530278,-85.67542778
1.0000,83.0000,34.94034167,-87.07407778
1.0000,121.0000,33.50096111,-86.12211111
1.0000,39.0000,31.02171944,-86.61338333
1.0000,31.0000,31.61335278,-86.02812500
1.0000,97.0000,30.31862778,-88.13697500
1.0000,133.0000,34.07491111,-87.21952500
1.0000,115.0000,33.60847222,-86.24658889
1.0000,79.0000,34.46998333,-87.43263889
1.0000,69.0000,31.25888333,-85.47845000
1.0000,39.0000,31.32675833,-86.65341111
1.0000,93.0000,33.93269444,-87.74076111
1.0000,55.0000,34.04989444,-86.30323611
1.0000,121.0000,33.38338611,-86.15543056
1.0000,97.0000,30.55911111,-88.28456944
1.0000,79.0000,34.60539722,-87.19895278
1.0000,121.0000,33.46829722,-86.15479722
1.0000,77.0000,34.84341389,-87.63425000
1.0000,91.0000,32.21301111,-87.78835278
1.0000,69.0000,31.17146667,-85.28489722
1.0000,127.0000,33.98083056,-87.60060278
1.0000,121.0000,33.59025556,-86.11222500
1.0000,77.0000,34.95257222,-88.09294722
1.0000,59.0000,34.34570833,-87.74423056
1.0000,49.0000,34.47250278,-85.75406389
1.0000,97.0000,30.59605556,-88.26804722
1.0000,7.0000,33.04445556,-86.95233611
1.0000,33.0000,34.74857500,-87.69880556
