LONGITUDE,LATITUDE
-110.02938,34.22383
-110.06486,34.23481
-110.0891,34.26084
-81.75553,41.4732
-90.38811,38.71812
-122.21333,47.47819
-122.17961,47.55566
-77.07725,38.97353
-91.65986,41.98382
-122.3971,47.2378
-77.07233,38.99921
-122.28972,47.75572
-76.51816,39.25762
-76.51385,39.2588
-76.70388,39.2467
-111.72446,33.3938
-77.1613,38.97707
-90.07055,29.94967
-77.37482,39.22254
-77.38541,39.22178
-77.2304,39.13583
-91.67504,41.97469
-112.82404,49.69652
-112.81007,49.6935
-112.89025,49.69204
-111.25932,34.25468
-111.26372,34.25354
-91.70222,42.02175
-77.11846,39.16537
-85.13735,35.04568
-85.32916,35.00184
-76.74243,38.94154
-76.74892,39.35666
-114.20928,51.08346
-122.38769,47.31521
-122.36096,47.29802
-97.18413,49.89733
-76.69421,39.37573
-91.67348,41.97109
-91.67696,41.9752
-91.70892,41.96315
-77.03896,39.00624
-90.04115,29.96148
-90.1232,29.92577
-90.11038,29.98228
-90.06359,29.96594
-90.08613,29.99934
-90.0989,30.00398
-76.7441,38.97277
-111.90887,33.46578
-110.89269,32.25067
-110.84102,32.23552
-110.87517,32.22164
-91.66796,42.02792
-81.76399,41.38864
-77.02398,38.89079
-76.75704,39.36655
-113.61499,53.5393
-76.99619,39.05596
-91.66663,41.99957
-76.62999,39.46003
-97.16719,49.87493
-76.61317,39.46105
-77.09436,39.00811
-77.06901,39.04878
-77.06763,39.05013
-77.07521,39.03653
-77.15695,39.11784
-77.0389,39.02627
-77.03288,39.02583
-77.17294,39.18426
-76.94116,39.07836
-77.03497,39.00238
-77.03692,39.0042
-77.06069,39.08024
-77.115,38.96053
-77.11181,38.95917
-77.03703,39.06506
-77.19031,39.16217
-77.08952,38.97221
-111.11557,33.28585
-111.10207,33.28834
-76.56839,39.37864
-76.95811,38.93776
-76.74851,38.97552
-76.75867,38.99575
-84.31156,39.80824
-84.31156,39.8112
-122.16555,47.34016
-81.52707,28.68283
-91.66649,41.99569
-91.6762,41.97666
-76.87036,39.09349
-90.30189,38.7291
-90.32618,38.74948
-90.60083,41.55432
-112.03085,33.6404
-77.1117,39.07664
-93.59649,41.59709
-93.6443,41.59533
-93.62898,41.58698
-93.60644,41.5264
-82.63495,36.55089
-82.62315,36.55223
-114.09259,51.14386
-113.81398,52.28851
-90.61314,41.5382
-90.61181,41.5223
-90.5716,41.54738
-90.55586,41.5275
-93.68709,41.59213
-111.01207,32.29897
-84.25337,39.76289
-84.17776,39.76021
-77.40315,39.43541
-76.9765,38.88759
-76.98,38.92715
-76.97879,38.92789
-76.94609,38.88978
-76.94288,38.87699
-76.997,38.82461
-76.97912,38.83861
-76.95976,38.86598
-76.98043,38.90465
-76.97727,38.88599
-77.0686,38.9529
-77.02188,38.95897
-77.04218,38.96211
-122.22015,47.27564
