"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"30","JACKSON COUNTY","Florida",18.7777777777778,334,2554.78267904571,18230.3657329524,14250.5769308571,4773.88111306191,35329.427437619,90249.9108919048,174698.659252381,4078.08362681429
"31","JEFFERSON COUNTY","Florida",7.55555555555556,335,2677.14445166667,32377.78173,29997.4870483333,5586.1935389,32848.2053916667,191844.451558333,139732.833041667,5226.223899925
"32","LAFAYETTE COUNTY","Florida",1.44444444444444,336,923.52380347,31068.8666566667,31895.33871,4567.36894063333,93562.0142466667,128008.869166667,49195.5941033333,4941.01523033333
"33","LAKE COUNTY","Florida",57.4444444444444,337,3077.19679015265,8334.29793402651,9126.9916308,4177.58874795181,20224.695424906,19423.9133093614,35033.719076747,5481.97715979157
"34","LEE COUNTY","Florida",100,338,1253.54976580031,9757.45930973692,13284.6635419431,5556.32687799269,16549.0895596308,12489.9170310077,80173.7232691539,3565.13048826154
"35","LEON COUNTY","Florida",30.8888888888889,339,1435.12445431625,6995.40554635156,10469.7617685313,2928.21190759359,7805.13930793281,154976.348815625,174840.97575,2833.19357962187
"36","LEVY COUNTY","Florida",15.1111111111111,340,10062.2280371524,38998.5797761905,17944.9142530952,5420.49852153381,21131.1163475238,46755.9833938095,51977.4274923809,6283.53112337619
"37","LIBERTY COUNTY","Florida",2.88888888888889,341,1762.1874627,36023.2728825,28713.9844175,5649.79368368,41734.0931975,106780.044475,216919.7373,18140.8008675
"38","MADISON COUNTY","Florida",10.1111111111111,342,4034.9342121275,37107.62620375,10923.8619153125,4566.787484625,62092.75194375,170342.0483,107244.24835125,4230.049575375
"39","MANATEE COUNTY","Florida",55.2222222222222,343,986.395796617927,6499.77309763293,9006.69808547854,2901.23192218171,6300.36893027659,10975.8890778329,30098.2957719512,2929.87068536341
"40","MARION COUNTY","Florida",80.1111111111111,344,4325.84406726553,15040.0630554537,12609.3372434257,4388.37080624423,38926.7567160163,18282.3241846756,40464.7973861789,4377.41341126992
"41","MARTIN COUNTY","Florida",31.6666666666667,345,1350.42490548437,5749.74281896292,12787.9910988229,3795.20253074417,34965.9932170833,16054.3081106033,89321.2084354167,4205.42541412917
"42","MONROE COUNTY","Florida",22.8888888888889,347,2598.78015853889,29475.2621553528,11590.4923291361,15449.7136169028,95182.9488061111,117340.802138889,24913.074614225,4178.84587376389
"43","NASSAU COUNTY","Florida",17.1111111111111,348,2005.37137637481,18675.316233037,19249.1648977037,7445.89714475556,32803.1578148148,39131.2370392593,79612.521517037,5094.39248223704
"44","OKALOOSA COUNTY","Florida",23.6666666666667,349,1612.87752072732,16428.6297954195,7482.5942249878,3691.27936546512,49238.7137914634,62614.2807160976,138234.447595122,4330.75118653415
"45","OKEECHOBEE COUNTY","Florida",14.2222222222222,350,1868.34509718125,8143.54543675,16118.3881416875,4320.28004818125,55810.24692625,47990.666959375,37892.2237938125,9127.58260968125
"46","ORANGE COUNTY","Florida",165.444444444444,351,1265.89564412764,3326.9017171557,7776.72287164174,2274.79941785537,4117.32727479298,8299.84920370992,22509.7467324752,2760.73612009599
"47","OSCEOLA COUNTY","Florida",55.4444444444444,352,1721.00329486597,8010.11491940278,16057.190681475,4196.11314237194,16816.4848135208,27385.7225806944,28099.0141874222,10594.515517475
