"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"36","JEFFERSON COUNTY","Nebraska",0.888888888888889,1639,146.1303064,2679.023297,1841.748913,2185.173863,165135.5306,158291.1193,130071.5502,1099.100837
"37","JOHNSON COUNTY","Nebraska",1.55555555555556,1640,452.5000212,23360.80038,672.1456337,9921.000658,97129.019,94430.54272,70513.12924,669.2808297
"38","KEARNEY COUNTY","Nebraska",2.44444444444444,1641,2753.7867355,9615.30178466667,5278.093328,4145.92805553333,272743.68345,262800.409,134794.711433333,4706.64902058333
"39","KEITH COUNTY","Nebraska",3.55555555555556,1642,3542.10504925,12140.448955,13219.73159875,9875.801235,288443.673775,304767.6629,39947.226845,2092.320686975
"40","KIMBALL COUNTY","Nebraska",1.44444444444444,1643,1410.76137436667,12165.5571563333,9567.87904266667,9532.41373933333,128159.452966667,165748.359033333,98049.6002633333,4049.41179333333
"41","KNOX COUNTY","Nebraska",2.55555555555556,1644,1930.93677142,19003.5790038,3381.44140496,14979.924408,106759.259992,107396.727994,36126.657706,3117.60160954
"42","LANCASTER COUNTY","Nebraska",18.6666666666667,1645,688.870084722143,6886.15642150357,7249.69364854286,3814.491795535,85737.7938167857,77544.4136392857,49335.3541542857,1908.44734044286
"43","LINCOLN COUNTY","Nebraska",6.33333333333333,1646,1436.17673937917,11758.0941010833,6737.914222,5233.54841650833,357967.649225,366821.709425,111219.3117775,3352.86431358333
"44","MADISON COUNTY","Nebraska",3.44444444444444,1647,1464.49040046667,11050.5072114444,4373.67577426,6231.14173488889,105008.400316667,107117.651225556,101367.654318889,1729.83312501111
"45","MERRICK COUNTY","Nebraska",2.44444444444444,1648,209.6594665,10527.530665,8607.119106,3080.441703,156614.5166,146266.2444,127505.60825,4143.561598
"46","MORRILL COUNTY","Nebraska",1.44444444444444,1649,3700.583161,18325.2783826667,6350.862531,11763.012101,202689.374466667,237498.799533333,28847.8701966667,4507.45126266667
"47","OTOE COUNTY","Nebraska",4.22222222222222,1650,899.055608066667,17044.4653233333,6959.85717633333,6403.46497454667,62449.2445233333,64264.63265,49846.2355766667,2373.8747219
"48","PAWNEE COUNTY","Nebraska",1,1651,948.6446366,25537.51527,10014.9054255,1901.4842176,125240.9024,127095.04065,106649.49585,3009.1483085
"49","PHELPS COUNTY","Nebraska",1.55555555555556,1652,2243.537612,5097.345994,3882.31438,5299.939997,301967.5263,291946.837,123897.5215,2050.245352
"50","PIERCE COUNTY","Nebraska",2.33333333333333,1653,2287.9617134,16975.749335,4160.6703745,13239.6239215,98383.770335,101219.55095,76554.518705,2504.526766
"51","PLATTE COUNTY","Nebraska",5.55555555555556,1654,1462.50088343333,13039.1132165556,6993.09840623333,5432.94614000333,128648.808088889,123876.770977778,112924.688998889,1951.56415448889
"52","POLK COUNTY","Nebraska",1.66666666666667,1655,693.5141943,8048.658718,8436.282711,7215.303424,122225.7223,111868.696,93303.87155,7694.436877
"53","RED WILLOW COUNTY","Nebraska",2.22222222222222,1656,1153.823555686,78930.278778,13472.5772106,17465.5560512,367951.52318,366801.43546,110951.932016,2096.38254182
"54","RICHARDSON COUNTY","Nebraska",2,1657,727.613986466667,32825.4401866667,5944.92901166667,4522.33290666667,81769.2933033333,117519.6493,101472.97199,2408.47568966667
"55","SALINE COUNTY","Nebraska",0.888888888888889,1658,1298.74087895,33551.91168,6879.6244915,2084.2589535,123225.38115,115205.7931,86791.231685,1760.4673615
"56","SARPY COUNTY","Nebraska",8.77777777777778,1659,738.852900714286,3761.36021934286,2612.31414857857,2330.46943876429,22700.53228,17560.8043366429,16883.6490641429,1480.45367271429
"57","SAUNDERS COUNTY","Nebraska",4.22222222222222,1660,1133.43809691111,20056.3737415556,7478.05985844445,6867.34526,57124.7842811111,47232.4985777778,31457.6571766667,2752.61243624444
"58","SCOTTS BLUFF COUNTY","Nebraska",5.33333333333333,1661,854.2061497,10664.6487551125,7282.393587375,4361.884509225,189080.5661625,237317.54955,82677.004865,3470.73531845
"59","SEWARD COUNTY","Nebraska",3.77777777777778,1662,498.024950757143,21332.5829185714,7324.39156857143,6756.63009621429,107219.196607143,97924.3716785714,70710.61321,3830.26386251429
"60","SHERIDAN COUNTY","Nebraska",2,1663,664.938416,122424.8567,7477.932961,7939.077678,315701.3098,164490.8729,30940.90424,4400.382364
"61","SHERMAN COUNTY","Nebraska",1.11111111111111,1664,1336.20460496667,14171.0559566667,13378.810471,10809.6342933333,255363.636366667,248504.1757,205371.844966667,1062.29013183333
"62","SIOUX COUNTY","Nebraska",0.444444444444444,1665,348.3875237,19882.44446,14819.13511,14910.08938,202331.3422,234736.052,72845.67668,11521.33151
"63","THAYER COUNTY","Nebraska",1.22222222222222,1666,1362.022443,25737.57662,7396.057583,5132.103259,188502.2403,180874.4668,152332.6035,3126.349876
"64","THOMAS COUNTY","Nebraska",0.444444444444444,1667,6523.7105635,72291.11723,50057.804765,14654.02511,335966.28185,328125.0193,155729.04965,2643.662327
"65","VALLEY COUNTY","Nebraska",1.66666666666667,1668,1614.653227,20434.36967,16286.63602,18256.68738,247959.3717,250385.405,202334.2373,1736.391666
"66","WASHINGTON COUNTY","Nebraska",2.44444444444444,1669,1104.15147701167,27069.6062183333,6869.56093036667,5916.0117854,39817.4896316667,34467.9139416667,50578.98886,3257.15802361667
"67","WAYNE COUNTY","Nebraska",1.11111111111111,1670,228.9429223,34506.13097,13265.66323,11069.88004,60478.81982,62630.87482,92747.49954,1954.083073
"68","WEBSTER COUNTY","Nebraska",0.333333333333333,1671,2652.3924615,35358.00552,7380.579913,7625.372007,241736.7471,232469.70195,137424.9368,7404.4648985
"69","YORK COUNTY","Nebraska",4.88888888888889,1672,1044.8666739625,10576.2135917,6652.2613491575,9021.8121329875,152809.9671875,142877.353,117784.23228875,4062.9692268875
